	playerID	yearID	stint	teamID	lgID	G	AB	R	H	2B	3B	HR	RBI	SB	CS	BB	SO	IBB	HBP	SH	SF	GIDP
0	berryto01	1871	1	PH1		1	4	0	1	0	0	0	0	0	0	0	0					
1	berthha01	1871	1	WS3		17	73	17	17	1	1	0	8	3	1	4	2					
2	biermch01	1871	1	FW1		1	2	0	0	0	0	0	0	0	0	1	0					
3	birdge01	1871	1	RC1		25	106	19	28	2	5	0	13	1	0	3	2					
4	birdsda01	1871	1	BS1	0.0	29	152	51	46	3	3	0	24	6	0	4	4					
5	brainas01	1871	1	WS3	0.0	30	134	24	30	4	0	0	21	4	0	7	2					
6	brannmi01	1871	1	CH1	0.0	3	14	2	1	0	0	0	0	0	0	0	0					
7	burrohe01	1871	1	WS3	0.0	12	63	11	15	2	3	1	14	0	0	1	1					
8	armstbo01	1871	1	FW1	0.0	12	49	9	11	2	1	0	5	0	1	0	1					
9	barkeal01	1871	1	RC1		1	4	0	1	0	0	0	2	0	0	1	0					
10	abercda01	1871	1	TRO	0.0	1	4	0	0	0	0	0	0	0	0	0	0					
11	addybo01	1871	1	RC1	0.0	25	118	30	32	6	0	0	13	8	1	4	0					
12	allisar01	1871	1	CL1	0.0	29	137	28	40	4	5	0	19	3	1	2	5					
13	allisdo01	1871	1	WS3	0.0	27	133	28	44	10	2	2	27	1	1	0	2					
14	ansonca01	1871	1	RC1	0.0	25	120	29	39	11	3	0	16	6	2	2	1					
17	barnero01	1871	1	BS1		31	157	66	63	10	9	0	34	11	6	13	1					
